id,verb,object,detail
0,download,one file,more user
0,download,corruption,download speed
0,improve,fast connection,classical downloading segment position
0,s,an ize,file size
0,decide,chunk speed,NA
1,upload,file,other user
1,download,this increase,network
2,avoids,a full line usage,some speed
2,leaf,web browsing realise,that download speed limit
2,download,upload speed limit,opened slot hub
3,disconnect,source,certain value
3,speed,certain time,download speed
3,go,the source,the set value
3,avoid,unnecessary slot usage,NA
4,set,sound,situation change color scheme
4,change,icon show popup balloon,emoticon
5,link,new window,NA
6,show,timestamps,NA
7,tell,the result,the lowest status bar
8,autocomplete,user name,main chat
9,skip,list file,t
10,popup,menu,url s uou
10,add,winamp playlist,NA
11,file,the popup menu,the search result window
12,notification,pm s,the user
12,write,message,NA
13,autosearch,alternative,both folder
14,specify,text color,NA
15,user,defined color,main chat multicolor
16,filter,the user list,user
16,find,the list,NA
17,add,icon,the window tab
17,see,that specific tab,NA
18,fast,autosearch algorithm,the search
18,fast,alternative feature,NA
19,customize,color,the progress bar
19,customize,the transfer window,NA
20,search,alternate,release
21,vertical,tile feature,subwindows
22,option,the viewmenu,the transfer window
23,file,menu,the transfer menu
23,open,incomplete file,NA
24,type,eg,g search string
24,search,google,chat
25,file,information,transfer window
27,feature,torrent completion state change,NA
28,improve,set download location relocate feature,file
29,add,torrent dialog,magnet link
30,add,option,torrent
30,pause,user activity,the computer
31,tiger,tree hash tth,file integrity
32,search,all or selected connected hub,type size
33,resume,downloads,optional search
34,log,option,configuration
34,log,chat private message downloads,uploads
35,auto,configuration,upnp router
36,link,specific content,NA
37,automatic,download priority,NA
38,save,user s file list,NA
39,download,speed,torrent
41,set,the forward,your router
42,use,a proxy,both tracker
42,use,peer communication,NA
43,set,a default download dir,completed file
44,import,torrent,a set dir
45,include,quick help,NA
46,embed,tracker host,your own torrent
46,embed,your share periodic scanning,a dir
47,distribute,hash table host,a completely decentralised torrent
47,benefit,the tracker,NA
48,dynamic,bandwidth management download,other application
49,detailed,stats,the health
49,detailed,medium file,a safer more controlled experience
52,write,c stable and fast very low cpu usage,NA
53,multiple,simultaneous downloads ability,download file
53,select,one torrent,file priority
54,limit,the upload speed,a download speed
55,use,all default,NA
56,optimize,the upload distribution,order
56,get,the max download rate,NA
57,decrease,the potential damage,the hard disk
57,decrease,highspeed,s
57,download,the read write frequency extra memory usage,the cost
58,intelligent,disk,no longtime disk allocation
58,decrease,the disk fragment,NA
59,scan,no timeconsuming ning,resume
60,support,torrent share exchange torrent file,NA
61,support,longtime seeding improve download speed,NA
62,use,only one tcp listening port,NA
63,auto,config icf internet connection firewall,window
64,auto,config port mapping,router upnp support
64,require,router window,xp
65,support,mutitracker torrent format,extension udp tracker
67,use,interface,NA
